Sekolah,✓,∑,% AI,☑ PLC
AEE1030-SEKOLAH MENENGAH KEBANGSAAN TOK PERDANA,43,68,63.24,Belum
AEE1026-SEKOLAH MENENGAH KEBANGSAAN METHODIST (ACS),42,115,36.52,Belum
ABA1034-SEKOLAH KEBANGSAAN SERI BAYU,38,84,45.24,Belum
AEE1038-SEKOLAH MENENGAH KEBANGSAAN DATO' IDRIS,35,57,61.4,Belum
ABC1069-SEKOLAH JENIS KEBANGSAAN (CINA) TIT BIN,34,43,79.07,Belum
AEE1037-SEKOLAH MENENGAH KEBANGSAAN PANGKOR,33,50,66,Belum
AEA1110-SEKOLAH MENENGAH KEBANGSAAN AHMAD BOESTAMAM,32,106,30.19,Belum
AEB1031-SEKOLAH MENENGAH KEBANGSAAN NAN HWA,32,136,23.53,Belum
ABA1033-SEKOLAH KEBANGSAAN SERI SITIAWAN,30,62,48.39,Belum
AEB1034-SEKOLAH MENENGAH KEBANGSAAN AYER TAWAR,30,78,38.46,Belum
ABA1021-SEKOLAH KEBANGSAAN DATO' ISHAK,29,34,85.29,Selesai
ABA1032-SEKOLAH KEBANGSAAN KPG. DATO' SERI KAMARUDDIN,28,78,35.9,Belum
AEA1114-SEKOLAH MENENGAH KEBANGSAAN SERI SAMUDERA,28,90,31.11,Belum
AEE1032-SEKOLAH MENENGAH KEBANGSAAN RAJA SHAHRIMAN,26,56,46.43,Belum
ABA1031-SEKOLAH KEBANGSAAN PANGKALAN TLDM II,25,62,40.32,Belum
AEA1116-SEKOLAH MENENGAH KEBANGSAAN KG. DATO' SERI KAMARUDDIN,24,62,38.71,Belum
ABA1014-SEKOLAH KEBANGSAAN SUNGAI WANGI,23,41,56.1,Belum
AEE1036-SEKOLAH MENENGAH KEBANGSAAN AMBROSE,23,93,24.73,Belum
ABC1052-SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG CHENG,22,44,50,Belum
ABC1061-SEKOLAH JENIS KEBANGSAAN (CINA) AYER TAWAR,22,26,84.62,Selesai
ABA1006-SEKOLAH KEBANGSAAN AYER TAWAR,20,37,54.05,Belum
ABC1062-SEKOLAH JENIS KEBANGSAAN (CINA) MIN TE,20,37,54.05,Belum
AEB1033-SEKOLAH MENENGAH KEBANGSAAN DINDINGS,20,62,32.26,Belum
ABA1016-SEKOLAH KEBANGSAAN SITIAWAN,19,38,50,Belum
ABB1042-SEKOLAH KEBANGSAAN CONVENT,19,31,61.29,Belum
AEA1111-SEKOLAH MENENGAH KEBANGSAAN PANGKALAN TLDM,19,64,29.69,Belum
AEB1027-SEKOLAH MENENGAH KEBANGSAAN CONVENT,18,33,54.55,Belum
ABA1027-SEKOLAH KEBANGSAAN PANGKALAN TLDM,17,90,18.89,Belum
ABA1035-SEKOLAH KEBANGSAAN SERI SAMUDERA,17,40,42.5,Belum
ABC1054-SEKOLAH JENIS KEBANGSAAN (CINA) CHINESE NATIONAL,17,29,58.62,Belum
AEA1109-SEKOLAH MENENGAH KEBANGSAAN SERI MANJUNG,17,107,15.89,Belum
ABC1053-SEKOLAH JENIS KEBANGSAAN (CINA) UK ING,16,40,40,Belum
ABA1028-SEKOLAH KEBANGSAAN SERI MANJUNG,15,112,13.39,Belum
ABA1012-SEKOLAH KEBANGSAAN NAKHODA MUHAMMAD TAIB,14,27,51.85,Belum
ABC1065-SEKOLAH JENIS KEBANGSAAN (CINA) KAMPONG MERBAU,14,16,87.5,Selesai
ABC1066-SEKOLAH JENIS KEBANGSAAN (CINA) KHUEN HEAN,14,15,93.33,Selesai
AEA1113-SEKOLAH MENENGAH KEBANGSAAN PANTAI REMIS,14,76,18.42,Belum
ABA1002-SEKOLAH KEBANGSAAN BERUAS,13,28,46.43,Belum
ABA1015-SEKOLAH KEBANGSAAN SERI SELAMAT,13,41,31.71,Belum
ABA1020-SEKOLAH KEBANGSAAN SUNGAI TIRAM,13,25,52,Belum
ABB1039-SEKOLAH KEBANGSAAN METHODIST (ACS),13,69,18.84,Belum
AEA1112-SEKOLAH MENENGAH KEBANGSAAN BATU SEPULUH,13,86,15.12,Belum
ABB1040-SEKOLAH KEBANGSAAN METHODIST (ACS),12,28,42.86,Belum
ABC1067-SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI BATU,12,16,75,Belum
ABA1001-SEKOLAH KEBANGSAAN DENDANG,11,16,68.75,Belum
ABC1057-SEKOLAH JENIS KEBANGSAAN (CINA) PEKAN GURNEY,11,21,52.38,Belum
ABD1079-SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SOGOMANA,11,11,100,Selesai
ABA1013-SEKOLAH KEBANGSAAN SUNGAI RAMAI,10,11,90.91,Selesai
ABA1018-SEKOLAH KEBANGSAAN MUHAMMAD SAMAN,10,32,31.25,Belum
ABA1023-SEKOLAH KEBANGSAAN SERI PANGKOR,10,41,24.39,Belum
ABA1029-SEKOLAH KEBANGSAAN PANTAI REMIS,10,27,37.04,Belum
ABC1059-SEKOLAH JENIS KEBANGSAAN (CINA) KOK MING,10,13,76.92,Belum
ABA1004-SEKOLAH KEBANGSAAN GELONG GAJAH,9,28,32.14,Belum
ABA1008-SEKOLAH KEBANGSAAN PENGKALAN BAHARU,9,39,23.08,Belum
ABC1056-SEKOLAH JENIS KEBANGSAAN (CINA) CHIEN HUA,9,19,47.37,Belum
ABD1073-SEKOLAH JENIS KEBANGSAAN (TAMIL) MAHA GANESA VIDDYASALAI,9,31,29.03,Belum
ABD1077-SEKOLAH JENIS KEBANGSAAN (TAMIL) PENGKALAN BARU,9,15,60,Belum
ABD1092-SEKOLAH JENIS KEBANGSAAN (TAMIL) AYER TAWAR,9,29,31.03,Belum
ABA1009-SEKOLAH KEBANGSAAN SUNGAI BATU,8,27,29.63,Belum
ABA1019-SEKOLAH KEBANGSAAN BATU SEPULUH,8,42,19.05,Belum
ABB1044-SEKOLAH KEBANGSAAN ST. FRANCIS,8,28,28.57,Belum
ABC1051-SEKOLAH JENIS KEBANGSAAN (CINA) KUR SENG,8,15,53.33,Belum
ABC1070-SEKOLAH JENIS KEBANGSAAN (CINA) PEI CHING,8,15,53.33,Belum
ABD1086-SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG WALBROOK,8,12,66.67,Belum
AEB1036-SEKOLAH MENENGAH KEBANGSAAN METHODIST,8,44,18.18,Belum
AFT1001-MAAHAD ISLAHIAH ADDINIAH,8,36,22.22,Belum
ABA1011-SEKOLAH KEBANGSAAN SEGARI,7,16,43.75,Belum
ABA1030-SEKOLAH KEBANGSAAN GUGUSAN LEKIR,7,34,20.59,Belum
ABB1043-SEKOLAH KEBANGSAAN SERI SERDANG,7,40,17.5,Belum
ABB1045-SEKOLAH KEBANGSAAN GANGGA,7,28,25,Belum
ABC1047-SEKOLAH JENIS KEBANGSAAN (CINA) HWA LIAN (2),7,14,50,Belum
ABC1058-SEKOLAH JENIS KEBANGSAAN (CINA) SIMPANG LIMA,7,13,53.85,Belum
ABD1093-SEKOLAH JENIS KEBANGSAAN (TAMIL) BERUAS,7,15,46.67,Belum
ABA1005-SEKOLAH KEBANGSAAN CHANGKAT CHERMIN,6,17,35.29,Belum
ABA1022-SEKOLAH KEBANGSAAN LUMUT,6,14,42.86,Belum
