subtopik_icon,subtopik_key,subtopik_title,subtopik_sort,subtopik_blurb,sort,key,title,url,type,blurb,preview_url
📚,slot-buku,Buku Pengurusan,1,USTP 2023–2026 · Rujhan Alwi,1,buku-2023,Buku Pengurusan USTP 2023,https://www.canva.com/design/DAFWv3QoB9g/SiacIkkrSFJG7FuO65g-Jg/view,canva,,
📚,slot-buku,Buku Pengurusan,1,USTP 2023–2026 · Rujhan Alwi,2,buku-2024,Buku Pengurusan USTP 2024,https://www.canva.com/design/DAF28MMwqT4/dV65v3f2G1G9V6A_KXM5Bg/view,canva,,
📚,slot-buku,Buku Pengurusan,1,USTP 2023–2026 · Rujhan Alwi,3,buku-2025,Buku Pengurusan USTP 2025,https://www.canva.com/design/DAGZuhOHzIM/kiiF86Fawa-ChTVvuH7DaQ/view,canva,,
📚,slot-buku,Buku Pengurusan,1,USTP 2023–2026 · Rujhan Alwi,4,buku-2026,Buku Pengurusan USTP 2026,https://www.canva.com/design/DAHFBMI56W8/rdm4z_hoorUd10XE3HgQfA/view,canva,,
📝,slot-pelaporan,Pelaporan,2,Epelaporan 2022–2025 (Canva) · Takwim · Pelaporan DPD (Looker),1,pelaporan-2022,Epelaporan 2022,https://www.canva.com/design/DAE5EDf_XPY/y4cvQai_KnNMwM2ModqGRA/view,canva,,
📝,slot-pelaporan,Pelaporan,2,Epelaporan 2022–2025 (Canva) · Takwim · Pelaporan DPD (Looker),2,pelaporan-2023,Epelaporan 2023,https://www.canva.com/design/DAHFBKPyUho/vDbVidnAHom0TJcNXIl5Sg/view,canva,,
🏆,slot-pencapaian,Pencapaian,3,Kertas kerja Majlis Apresiasi Digital · Slaid Majlis Apresiasi (Canva) · Pencapaian USTP 2025 · kad penghargaan · success story (Canva),1,Kertas-apriesiasi1,Kertas Kerja Majlis Apresiasi Digital,https://www.canva.com/design/DAG3I0mucKY/ehUSnXhpz06UxXWmTN8-wA/view,canva,,
🏆,slot-pencapaian,Pencapaian,3,Kertas kerja Majlis Apresiasi Digital · Slaid Majlis Apresiasi (Canva) · Pencapaian USTP 2025 · kad penghargaan · success story (Canva),2,slaid-apriesiasi,Slaid Majlis Apresiasi,https://www.canva.com/design/DAG5B4DtRe8/nE9Trwg7IRWEFamAGjyRMQ/view,canva,,
📝,slot-pelaporan,Pelaporan,2,Epelaporan 2022–2025 (Canva) · Takwim · Pelaporan DPD (Looker),3,pelaporan-2024,Epelaporan 2024,https://www.canva.com/design/DAHFAwfv5qI/kDTtol21C9NoGT8X7TL8dw/view,canva,,
📝,slot-pelaporan,Pelaporan,2,Epelaporan 2022–2025 (Canva) · Takwim · Pelaporan DPD (Looker),4,pelaporan-2025,Epelaporan 2025,https://www.canva.com/design/DAGgurDIiVU/tQr9dAKI1fjuF7iyS73LMQ/view,canva,,
