subtopik_icon,subtopik_key,subtopik_title,subtopik_sort,subtopik_blurb,sort,key,title,url,type,blurb
📁,slot-kertas-kerja,Kertas kerja,1,Bengkel Digital 2025 (PDF) · Eduspark COE Roadshow (Canva),1,kk-demo-1,Kertas Kerja Program,https://drive.google.com/file/d/1mLYYq1JLCGeOJFczmSYc_unJLCY3iMdZ/view,pdf,Bengkel Digital 2025 
📁,slot-kertas-kerja,Kertas kerja,1,Bengkel Digital 2025 (PDF) · Eduspark COE Roadshow (Canva),2,kk-demo-2,Kertas Kerja Program Eduspark,https://www.canva.com/design/DAG0hWYthb4/bzP48XBfMSZMxXUqsL_g3g/view,canva,COE Roadshow
📝,slot-laporan,Laporan,2,Canva poster · Dron (PDF) · Khidmat bantu dron (Google Docs) · Pencetak 3D · Reka bentuk 3D · OPR Bengkel MYRC · OPR Bengkel Laman Web · OPR Mikrobotik & Edu Kit (COE / JU RBT) ,1,lap-demo-1,Canva Poster,https://drive.google.com/file/d/1MZILesbmM0KUCFwqV3bPLLplECamUCGk/view,pdf,
🤝,slot-jnj,JNJ,3,"YTY · Pandai · Goolee · Minecraft · Mikrobotik & Edu Kit · Manjung & Padang Terap · Ana Muslim (Seri Selamat, SG Tiram)",1,jnj-demo,YTY,https://drive.google.com/file/d/1cHQpv3ddBx-RLfvOCDn71_VGaLy15aDW/view,pdf,Canva Grafik Fasa 1
📝,slot-laporan,Laporan,2,Canva poster · Dron (PDF) · Khidmat bantu dron (Google Docs) · Pencetak 3D · Reka bentuk 3D · OPR Bengkel MYRC · OPR Bengkel Laman Web · OPR Mikrobotik & Edu Kit (COE / JU RBT) ,2,slot-laporan-mnx12480,Dron,https://drive.google.com/file/d/15nLg2S1yoXCnCpQ6REDrM_qsij4282fP/view,pdf,
📝,slot-laporan,Laporan,2,Canva poster · Dron (PDF) · Khidmat bantu dron (Google Docs) · Pencetak 3D · Reka bentuk 3D · OPR Bengkel MYRC · OPR Bengkel Laman Web · OPR Mikrobotik & Edu Kit (COE / JU RBT) ,3,slot-laporan-mnx12ok6,Khidmat bantu dron,https://docs.google.com/document/d/1euIyXy0yb2wqE3_QwLRwAlOTnuVdAz2Vbo1HbK7Bw9A/edit?tab=t.0,gdoc,LAPORAN SPb 8/6/2025
📝,slot-laporan,Laporan,2,Canva poster · Dron (PDF) · Khidmat bantu dron (Google Docs) · Pencetak 3D · Reka bentuk 3D · OPR Bengkel MYRC · OPR Bengkel Laman Web · OPR Mikrobotik & Edu Kit (COE / JU RBT) ,4,slot-laporan-mnx13r5z,Pencetak 3D,https://drive.google.com/file/d/11w7hSfjDNVr2v8NtRbXYfTc-QNiJ6PTK/view,pdf,
📝,slot-laporan,Laporan,2,Canva poster · Dron (PDF) · Khidmat bantu dron (Google Docs) · Pencetak 3D · Reka bentuk 3D · OPR Bengkel MYRC · OPR Bengkel Laman Web · OPR Mikrobotik & Edu Kit (COE / JU RBT) ,5,slot-laporan-mnx14acu,Reka Bentuk 3D,https://drive.google.com/file/d/1sXYW-8zGpgqJz4-Y7eGTGgPHtKljC-fy/view,pdf,
📝,slot-laporan,Laporan,2,Canva poster · Dron (PDF) · Khidmat bantu dron (Google Docs) · Pencetak 3D · Reka bentuk 3D · OPR Bengkel MYRC · OPR Bengkel Laman Web · OPR Mikrobotik & Edu Kit (COE / JU RBT) ,6,slot-laporan-mnx14mwf,OPR Bengkel MYRC,https://drive.google.com/file/d/1fxIy4U61VSvmDBkLuUhMf57pJfPA8RVQ/view,pdf,
📝,slot-laporan,Laporan,2,Canva poster · Dron (PDF) · Khidmat bantu dron (Google Docs) · Pencetak 3D · Reka bentuk 3D · OPR Bengkel MYRC · OPR Bengkel Laman Web · OPR Mikrobotik & Edu Kit (COE / JU RBT) ,7,slot-laporan-mnx1544u,OPR Bengkel Laman Web,https://drive.google.com/file/d/18HWD-H5jS_o8klAr6ospW7-pottj3QJI/view,,
📝,slot-laporan,Laporan,2,Canva poster · Dron (PDF) · Khidmat bantu dron (Google Docs) · Pencetak 3D · Reka bentuk 3D · OPR Bengkel MYRC · OPR Bengkel Laman Web · OPR Mikrobotik & Edu Kit (COE / JU RBT) ,8,slot-laporan-mnx15h4l,OPR Bengkel Penggunaan Mikrobotik & Edu Kit (COE USTP & JU RBT Daerah),https://drive.google.com/file/d/1HLCjQTSwIJMD2-q6nrRRPhfwFFn-AWsk/view,pdf,
