subtopik_icon,subtopik_key,subtopik_title,subtopik_sort,subtopik_blurb,sort,key,title,url,type,blurb,preview_url
🚀,slot-inovasi,Program Inovasi,2,contoh program inovasi,1,membaca-inv-1,Video Inovasi,https://drive.google.com/file/d/1xAuQEgy4nokBvt1ezd6J_nvxXpdl7b-P/view,pdf,,
🤝,slot-jnj,JNJ,3,semua jnj berkaitan amalan membaca,1,membaca-jnj-1,PSS Maya SESDA,https://sesdamaya.rakmaya.com/,embed,,
🚀,slot-inovasi,Program Inovasi,2,contoh program inovasi,2,slot-inovasi-mnx3ew01,Bahan Inovasi,https://www.artsteps.com/view/68dbfbda95f4a3708b75bd04,image,,https://drive.google.com/file/d/1ywajiSBtLa7BaSHoZhG05-lVxT3bac9s/view?usp=drive_link
🤝,slot-jnj,JNJ,3,semua jnj berkaitan amalan membaca,2,slot-jnj-mnx3gwb3,SK Seri Samudera,https://skeses.rakmaya.com/bio/,embed,Halaman bio Rak Maya,
🤝,slot-jnj,JNJ,3,semua jnj berkaitan amalan membaca,3,slot-jnj-mnx3hz2m,JNJ Must Read,https://drive.google.com/file/d/1FMmqWJNRU0qHmvV84MpZ5poQRAuCPnUe/view,pdf,,
📝,slot-opr,OPR 2025,1,semua opr berkaitan amalan membaca,1,opr-manjung-2025-00,PROGRAM ORIENTASI PENGGUNAAN PUSAT SUMBER MURID TAHUN EMPAT SESI 2025/2026,https://drive.google.com/open?id=1dPZPuVSIR8NZMMOqDuiPyHbNrqTwN0_QrfKzXBKY8nA,pdf,,
📝,slot-opr,OPR 2025,1,semua opr berkaitan amalan membaca,2,opr-manjung-2025-01,PROGRAM R.E.A.D-READ EVERYWHERE AND DIGITALLY SEMPENA DEKAD MEMBACA KEBANGSAAN TAHUN 2025,https://drive.google.com/open?id=1gbpyU3Os1XKDd6ie4UGrab3bnF0xbQl41f9uHPQ5c8A,pdf,,
📝,slot-opr,OPR 2025,1,semua opr berkaitan amalan membaca,3,opr-manjung-2025-02,JOM BACA BERSAMA 10 MINIT NIKMATI SAAT INI,https://drive.google.com/open?id=1fxxJ8EdZqJaE6Dl95Ha7KqzVEdDNNRdqmr-Vcv6wJQ4,pdf,,
📝,slot-opr,OPR 2025,1,semua opr berkaitan amalan membaca,4,opr-manjung-2025-03,PERAK R.E.A.D 2025 : READING EVERYWHERE AND DIGITALLY,https://drive.google.com/open?id=1CL4W7X22fIGzM8IGTymALRM6fqIjYYQRQ41fcMtFU9k,pdf,,
📝,slot-opr,OPR 2025,1,semua opr berkaitan amalan membaca,5,opr-manjung-2025-04,PROGRAM PERAK R.E.A.D TAHUN 2025,https://drive.google.com/open?id=1l2sr_Nhz2nfnR-7kXruXEz39P83wezOhY86-op1KfLo,pdf,,
📝,slot-opr,OPR 2025,1,semua opr berkaitan amalan membaca,6,opr-manjung-2025-05,PROGRAM PERAK READ JOM BACA BERSAMA 10 MINIT,https://drive.google.com/open?id=1v8Z1-biqRGuTWbckq_21VmFncpMjkhJWZfS3-medQUE,pdf,,
📝,slot-opr,OPR 2025,1,semua opr berkaitan amalan membaca,7,opr-manjung-2025-06,PELUNCURAN PROGRM NILAM PERINGKAT SEKOLAH,https://drive.google.com/open?id=17tL3TT-1Wy0TOF-kVoUGGdwiK1fDrOfe3swcQRzzS-4,pdf,,
📝,slot-opr,OPR 2025,1,semua opr berkaitan amalan membaca,8,opr-manjung-2025-07,PROGRAM JOM BACA BERSAMA 10 MINIT,https://drive.google.com/open?id=1aD8LC8dtqktZKJrWOLi6wkvbMbVLtBN0pxm1diVeHyY,pdf,,
📝,slot-opr,OPR 2025,1,semua opr berkaitan amalan membaca,9,opr-manjung-2025-08,MAJLIS WATIKAH PELANTIKAN PENGAWAS PUSAT SUMBER SESI 2025,https://drive.google.com/open?id=1Zd9R-HK9uZo_ya3UzeHkRs-3yRYJapHKuRLjCozFUk0,pdf,,
📝,slot-opr,OPR 2025,1,semua opr berkaitan amalan membaca,10,opr-manjung-2025-09,PERAK READ,https://drive.google.com/open?id=1lhPWP75FJFcgnQjqnP_vWSYAcchstnKcoAVIcUS3hog,pdf,,
📝,slot-opr,OPR 2025,1,semua opr berkaitan amalan membaca,11,opr-manjung-2025-10,PROGRAM PERAK R.E.A.D 2025,https://drive.google.com/open?id=1CDciBxW4bT9eFe6YO4K3aeGfsufM3EgbhfXuCR7oQxA,pdf,,
📝,slot-opr,OPR 2025,1,semua opr berkaitan amalan membaca,12,opr-manjung-2025-11,JOM BACA BERSAMA 10 MINIT,https://drive.google.com/open?id=18Vgd-yxIdUWHzr8O02SXwS0rkmdXBytJWNmw-QRNgBs,pdf,,
📝,slot-opr,OPR 2025,1,semua opr berkaitan amalan membaca,13,opr-manjung-2025-12,PROGRAM JOM BACA BERSAMA 10 MINIT,https://drive.google.com/open?id=1AsHxV5A2bRU1LnO0CtDF-drW4JW_nKdDYAxfkgr78o0,pdf,,
📝,slot-opr,OPR 2025,1,semua opr berkaitan amalan membaca,14,opr-manjung-2025-13,JOM BACA BERSAMA 10 MINIT 2025,https://drive.google.com/open?id=1Wadq-qwcp7OwGNlKM_PbjNu9DTNdyxkCPrJ1AkG2jH8,pdf,,
📝,slot-opr,OPR 2025,1,semua opr berkaitan amalan membaca,15,opr-manjung-2025-14,JOM BACA BERSAMA 10 MINIT,https://drive.google.com/open?id=1YGF3E4YgsP9whdVpUkcj1UyOhid_rxzSm2Hcf7qRb_4,pdf,,
